iter	Passed	Remaining
0	0	63
1	1	55
2	1	51
3	2	57
4	3	65
5	4	69
6	5	71
7	6	73
8	7	73
9	8	73
10	9	73
11	9	72
12	10	70
13	11	69
14	12	68
15	12	67
16	13	65
17	14	65
18	15	64
19	15	63
20	16	62
21	17	60
22	17	59
23	18	57
24	18	56
25	19	55
26	19	53
27	20	52
28	20	51
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	23	44
35	24	43
36	24	41
37	25	40
38	25	39
39	25	38
40	26	38
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	25
58	35	25
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	54	0
99	55	0
