iter	Passed	Remaining
0	137	137818
1	139	69454
2	140	46679
3	141	35232
4	142	28398
5	143	23808
6	144	20533
7	145	18085
8	146	16175
9	149	14755
10	150	13510
11	151	12465
12	152	11574
13	153	10813
14	154	10152
15	155	9576
16	156	9073
17	158	8622
18	159	8218
19	160	7856
20	161	7539
21	162	7245
22	164	6977
23	165	6716
24	166	6479
25	167	6267
26	168	6068
27	169	5886
28	170	5713
29	171	5555
30	172	5406
31	174	5265
32	175	5156
33	177	5036
34	178	4919
35	179	4811
36	180	4704
37	181	4606
38	183	4513
39	184	4423
40	185	4338
41	186	4255
42	187	4178
43	189	4111
44	190	4041
45	191	3973
46	192	3908
47	194	3847
48	195	3787
49	196	3728
50	197	3672
51	198	3621
52	199	3569
53	200	3517
54	202	3486
55	204	3440
56	205	3396
57	206	3354
58	207	3307
59	208	3266
60	209	3226
61	210	3187
62	211	3149
63	212	3112
64	213	3075
65	215	3043
66	216	3010
67	217	2985
68	219	2956
69	220	2925
70	221	2895
71	222	2865
72	223	2837
73	224	2810
74	225	2784
75	227	2762
76	228	2737
77	229	2711
78	230	2688
79	231	2666
80	233	2648
81	234	2626
82	235	2598
83	236	2577
84	237	2558
85	238	2537
86	239	2517
87	241	2498
88	242	2477
89	243	2457
90	244	2439
91	245	2421
92	247	2411
93	248	2395
94	249	2378
95	250	2362
96	252	2346
97	253	2330
98	254	2314
99	255	2300
100	256	2285
101	257	2270
102	259	2255
103	260	2241
104	261	2228
105	262	2216
106	264	2203
107	265	2190
108	266	2177
109	267	2163
110	268	2151
111	269	2139
112	270	2126
113	272	2114
114	273	2101
115	274	2089
116	275	2076
117	276	2067
118	278	2058
119	279	2047
120	280	2037
121	281	2025
122	282	2014
123	283	2003
124	284	1992
125	285	1982
126	286	1970
127	287	1961
128	288	1950
129	289	1939
130	291	1936
131	293	1928
132	294	1919
133	295	1910
134	296	1902
135	297	1892
136	299	1883
137	300	1875
138	301	1866
139	302	1857
140	303	1849
141	304	1839
142	305	1830
143	306	1823
144	308	1816
145	309	1808
146	310	1800
147	311	1792
148	312	1784
149	313	1776
150	314	1768
151	315	1760
152	316	1753
153	317	1746
154	319	1739
155	321	1738
156	322	1733
157	323	1726
158	325	1719
159	326	1712
160	326	1703
161	327	1696
162	329	1689
163	330	1682
164	331	1676
165	332	1668
166	333	1662
167	334	1655
168	336	1653
169	337	1648
170	338	1642
171	339	1636
172	341	1631
173	342	1625
174	343	1619
175	344	1613
176	345	1607
177	346	1601
178	347	1596
179	349	1590
180	350	1587
181	352	1582
182	353	1577
183	354	1571
184	355	1566
185	356	1561
186	357	1556
187	359	1551
188	360	1545
189	361	1540
190	362	1536
191	363	1531
192	365	1526
193	366	1522
194	367	1518
195	368	1513
196	370	1508
197	371	1503
198	372	1498
199	373	1494
200	374	1489
201	375	1484
202	376	1479
203	377	1474
204	378	1469
205	381	1469
206	382	1465
207	383	1461
208	384	1456
209	386	1452
210	387	1448
211	388	1444
212	389	1439
213	390	1435
214	391	1431
215	393	1427
216	395	1426
217	396	1423
218	398	1419
219	399	1416
220	400	1412
221	402	1409
222	403	1405
223	404	1401
224	405	1397
225	406	1393
226	409	1392
227	410	1389
228	411	1385
229	412	1381
230	413	1376
231	414	1372
232	415	1368
233	416	1364
234	417	1360
235	419	1356
236	420	1352
237	421	1348
238	422	1344
239	423	1342
240	425	1339
241	426	1335
242	427	1331
243	428	1328
244	429	1324
245	430	1320
246	432	1317
247	433	1313
248	434	1310
249	435	1306
250	436	1303
251	439	1303
252	440	1300
253	441	1297
254	442	1293
255	443	1290
256	445	1286
257	446	1283
258	447	1279
259	448	1276
260	449	1272
261	450	1269
262	451	1266
263	453	1263
264	454	1260
265	455	1257
266	456	1253
267	457	1250
268	458	1246
269	459	1243
270	461	1240
271	462	1236
272	463	1233
273	464	1231
274	465	1228
275	467	1225
276	468	1223
277	470	1221
278	471	1217
279	472	1214
280	473	1211
281	474	1207
282	475	1204
283	476	1200
284	477	1198
285	479	1196
286	480	1193
287	481	1190
288	483	1189
289	485	1187
290	486	1185
291	487	1182
292	488	1179
293	490	1176
294	491	1174
295	492	1171
296	493	1168
297	494	1165
298	496	1162
299	497	1160
300	498	1158
301	500	1155
302	501	1153
303	502	1150
304	504	1148
305	505	1146
306	506	1144
307	508	1141
308	509	1138
309	510	1136
310	511	1133
311	513	1131
312	514	1129
313	516	1127
314	517	1124
315	518	1122
316	519	1120
317	521	1117
318	522	1115
319	523	1112
320	524	1109
321	525	1107
322	527	1104
323	529	1104
324	530	1101
325	531	1098
326	532	1096
327	534	1094
328	535	1091
329	536	1089
330	537	1086
331	538	1084
332	540	1081
333	541	1079
334	542	1077
335	544	1075
336	545	1073
337	546	1071
338	548	1068
339	549	1066
340	550	1063
341	551	1060
342	552	1058
343	553	1055
344	554	1053
345	556	1051
346	558	1050
347	559	1048
348	560	1045
349	561	1043
350	562	1040
351	564	1038
352	565	1035
353	566	1033
354	567	1030
355	568	1028
356	569	1025
357	570	1023
358	572	1022
359	574	1021
360	575	1018
361	576	1016
362	578	1014
363	579	1012
364	580	1010
365	581	1007
366	583	1005
367	584	1003
368	585	1000
369	586	998
370	589	999
371	590	997
372	592	995
373	593	993
374	594	990
375	595	988
376	596	986
377	598	984
378	599	981
379	600	979
380	602	978
381	603	976
382	605	974
383	606	972
384	607	970
385	608	968
386	609	966
387	611	963
388	612	961
389	613	959
390	614	957
391	615	955
392	617	954
393	619	952
394	620	951
395	622	949
396	623	947
397	625	945
398	626	943
399	627	941
400	629	939
401	630	938
402	633	937
403	634	936
404	636	934
405	637	932
406	638	930
407	639	928
408	640	925
409	641	923
410	643	921
411	644	919
412	645	917
413	648	917
414	649	915
415	650	913
416	652	912
417	653	910
418	655	908
419	656	906
420	657	904
421	659	902
422	660	900
423	661	898
424	663	897
425	664	895
426	665	893
427	667	891
428	668	889
429	669	887
430	671	886
431	672	884
432	673	882
433	675	880
434	676	878
435	690	893
436	692	891
437	694	890
438	695	888
439	696	886
440	698	884
441	699	882
442	700	880
443	701	879
444	703	877
445	704	875
446	706	873
447	707	871
448	709	870
449	710	868
450	711	866
451	712	864
452	714	862
453	715	860
454	716	858
455	717	856
456	719	854
457	720	852
458	722	851
459	723	849
460	725	847
461	726	845
462	727	844
463	729	842
464	730	840
465	731	838
466	733	836
467	734	835
468	735	833
469	738	832
470	739	830
471	740	828
472	741	826
473	743	824
474	744	822
475	745	820
476	746	818
477	747	815
478	747	813
479	749	811
480	750	809
481	750	807
482	752	805
483	753	803
484	755	801
485	756	799
486	757	798
487	758	796
488	760	794
489	761	792
490	762	790
491	763	788
492	764	786
493	766	784
494	768	784
495	770	782
496	771	780
497	772	779
498	774	777
499	775	775
500	776	773
501	777	771
502	779	769
503	780	768
504	781	766
505	783	764
506	784	762
507	785	760
508	787	759
509	788	757
510	789	755
511	790	753
512	791	751
513	793	749
514	794	748
515	795	746
516	796	744
517	798	743
518	800	741
519	801	739
520	802	737
521	803	735
522	804	734
523	806	732
524	807	730
525	808	728
526	809	726
527	811	725
528	812	723
529	814	722
530	815	720
531	816	718
532	817	716
533	818	714
534	820	712
535	821	711
536	822	709
537	824	707
538	825	705
539	826	704
540	828	702
541	829	700
542	830	699
543	831	697
544	833	695
545	834	693
546	835	692
547	836	690
548	838	688
549	839	686
550	840	685
551	842	683
552	843	682
553	845	680
554	846	678
555	848	677
556	849	675
557	850	673
558	851	671
559	853	670
560	854	668
561	855	666
562	856	665
563	858	663
564	859	662
565	861	660
566	862	658
567	863	656
568	865	655
569	866	653
570	867	651
571	868	650
572	870	648
573	871	646
574	872	645
575	874	643
576	875	642
577	877	640
578	878	638
579	879	636
580	880	635
581	881	633
582	882	631
583	884	629
584	885	628
585	886	626
586	888	624
587	889	623
588	890	621
589	891	619
590	893	618
591	894	616
592	895	614
593	896	613
594	897	611
595	898	609
596	900	607
597	903	607
598	904	605
599	905	603
600	907	602
601	908	600
602	909	598
603	910	597
604	912	595
605	913	593
606	914	592
607	916	590
608	918	589
609	919	587
610	920	586
611	922	584
612	923	582
613	924	581
614	925	579
615	926	577
616	928	576
617	929	574
618	930	572
619	931	570
620	932	569
621	934	567
622	935	566
623	936	564
624	937	562
625	938	560
626	939	559
627	941	557
628	942	555
629	943	554
630	944	552
631	946	551
632	948	549
633	949	548
634	950	546
635	951	544
636	953	543
637	954	541
638	956	540
639	957	538
640	958	536
641	959	535
642	962	534
643	963	532
644	965	531
645	966	529
646	967	528
647	969	526
648	970	524
649	971	523
650	972	521
651	973	519
652	975	518
653	977	517
654	978	515
655	979	513
656	981	512
657	982	510
658	983	508
659	984	507
660	985	505
661	987	504
662	988	502
663	989	500
664	991	499
665	992	497
666	994	496
667	995	494
668	996	493
669	998	491
670	999	489
671	1000	488
672	1001	486
673	1003	485
674	1004	483
675	1006	482
676	1007	480
677	1008	479
678	1010	477
679	1011	475
680	1012	474
681	1013	472
682	1014	471
683	1016	469
684	1017	467
685	1018	466
686	1019	464
687	1021	463
688	1022	461
689	1024	460
690	1025	458
691	1026	457
692	1028	455
693	1029	453
694	1031	452
695	1032	451
696	1034	449
697	1036	448
698	1037	446
699	1039	445
700	1040	443
701	1042	442
702	1043	440
703	1045	439
704	1046	437
705	1047	436
706	1048	434
707	1050	433
708	1052	431
709	1053	430
710	1055	429
711	1057	427
712	1059	426
713	1060	424
714	1062	423
715	1063	421
716	1065	420
717	1067	419
718	1068	417
719	1069	415
720	1070	414
721	1071	412
722	1073	411
723	1074	409
724	1075	408
725	1076	406
726	1078	404
727	1079	403
728	1081	401
729	1082	400
730	1084	398
731	1085	397
732	1086	395
733	1088	394
734	1089	392
735	1090	391
736	1091	389
737	1093	388
738	1095	386
739	1097	385
740	1098	383
741	1099	382
742	1100	380
743	1102	379
744	1103	377
745	1104	376
746	1105	374
747	1106	372
748	1108	371
749	1110	370
750	1111	368
751	1113	367
752	1114	365
753	1115	364
754	1117	362
755	1118	361
756	1119	359
757	1121	357
758	1122	356
759	1123	354
760	1125	353
761	1126	351
762	1128	350
763	1129	348
764	1130	347
765	1131	345
766	1133	344
767	1134	342
768	1135	341
769	1137	339
770	1138	338
771	1140	336
772	1141	335
773	1142	333
774	1144	332
775	1145	330
776	1146	329
777	1147	327
778	1149	326
779	1150	324
780	1151	323
781	1153	321
782	1155	320
783	1156	318
784	1158	317
785	1159	315
786	1160	314
787	1162	312
788	1163	311
789	1164	309
790	1165	308
791	1167	306
792	1169	305
793	1171	303
794	1172	302
795	1173	300
796	1175	299
797	1176	297
798	1177	296
799	1179	294
800	1180	293
801	1181	291
802	1182	290
803	1184	288
804	1186	287
805	1187	285
806	1188	284
807	1190	282
808	1191	281
809	1192	279
810	1194	278
